"Actual by Accommodation by Type by Variable (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","","","","","","Hotels","","","","","","Motels","","","","","","Backpackers","","","","","","Holiday parks","","","","","","Total excluding holiday parks","","","","",""
" ","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)"
"2002M11",2937,3678480,2458811,39.9,1.8,122616,585,836610,914597,67.8,1.8,27887,1624,729180,852759,59.9,1.8,24306,315,529950,316455,53.8,2.0,17665,413,1582740,375000,11.2,1.7,52758,2524,2095740,2083811,61.5,1.8,69858
"2002M12",2952,3849146,2925272,40.3,1.9,124166,582,861118,821032,54.9,1.8,27778,1633,753765,887777,53.8,1.8,24315,317,556078,346687,56.8,1.9,17938,420,1678185,869776,21.2,2.3,54135,2532,2170961,2055495,55.0,1.8,70031
"2003M01",2966,3857516,3884101,48.8,2.1,124436,585,864528,901700,58.9,1.8,27888,1641,757764,1135828,64.1,1.9,24444,321,560542,388199,62.4,1.9,18082,419,1674682,1458375,32.2,2.9,54022,2547,2182834,2425726,61.6,1.8,70414
"2003M02",2968,3489584,3013612,48.8,1.8,124628,586,785428,947806,72.1,1.8,28051,1643,687960,1002241,71.2,1.8,24570,321,507136,366180,64.2,1.9,18112,418,1509060,697385,21.3,1.9,53895,2550,1980524,2316227,69.8,1.8,70733
"2003M03",2967,3854044,2898116,44.0,1.8,124324,586,868527,933914,66.1,1.8,28017,1643,765855,1011819,65.9,1.8,24705,323,565936,377025,60.3,1.9,18256,415,1653726,575358,16.6,1.8,53346,2552,2200318,2322758,64.5,1.8,70978
"2003M04",2923,3600360,2550460,39.6,1.9,120012,577,836940,760451,54.1,1.9,27898,1622,733320,927964,59.4,1.8,24444,317,535170,331244,56.4,2.0,17839,407,1494930,530801,15.7,1.9,49831,2516,2105430,2019659,56.5,1.9,70181
"2003M05",2862,3647429,1721910,29.4,1.8,117659,566,861552,588486,44.4,1.8,27792,1602,755966,643322,45.3,1.8,24386,311,551211,244768,41.3,2.0,17781,383,1478700,245334,8.2,1.8,47700,2479,2168729,1476576,43.9,1.8,69959
"2003M06",2839,3494610,1474648,26.6,1.9,116487,565,832680,524467,41.4,1.9,27756,1599,729180,567575,41.6,1.8,24306,298,517890,208134,37.1,2.1,17263,377,1414860,174472,6.3,1.9,47162,2462,2079750,1300176,40.4,1.9,69325
"2003M07",2854,3634781,1976968,31.3,1.9,117251,566,859661,697659,49.1,1.9,27731,1608,758787,796770,50.0,1.9,24477,303,556884,256928,41.5,2.0,17964,377,1459449,225611,7.3,1.9,47079,2477,2175332,1751357,47.5,1.9,70172
"2003M08",2866,3644825,1831178,29.9,2.0,117575,569,865489,688876,49.6,1.9,27919,1615,760244,712885,46.8,1.9,24524,304,557070,228982,37.0,2.1,17970,378,1462022,200435,6.7,1.9,47162,2488,2182803,1630744,45.4,2.0,70413
"2003M09",2893,3569640,2025337,32.8,1.9,118988,568,832860,714175,52.7,1.9,27762,1622,740850,796162,52.5,1.8,24695,317,548790,243510,40.2,2.1,18293,386,1447140,271491,8.3,1.8,48238,2507,2122500,1753846,49.4,1.9,70750
"2003M10",2934,3718419,2224164,35.2,1.8,119949,566,862048,779987,56.1,1.8,27808,1646,773946,827999,53.8,1.8,24966,327,573314,277163,44.1,2.0,18494,395,1509111,339016,10.2,1.8,48681,2539,2209308,1885148,52.2,1.8,71268
